Algorithm,Query1aOptJoinTreeOptOrdering,Query1bOptJoinTreeOptOrdering,Query1cOptJoinTreeOptOrdering,Query1dOptJoinTreeOptOrdering,Query2aOptJoinTreeOptOrdering,Query2bOptJoinTreeOptOrdering,Query2cOptJoinTreeOptOrdering,Query2dOptJoinTreeOptOrdering,Query3aOptJoinTreeOptOrdering,Query3bOptJoinTreeOptOrdering,Query3cOptJoinTreeOptOrdering,Query4aOptJoinTreeOptOrdering,Query4bOptJoinTreeOptOrdering,Query4cOptJoinTreeOptOrdering,Query5aOptJoinTreeOptOrdering,Query5bOptJoinTreeOptOrdering,Query5cOptJoinTreeOptOrdering,Query6aOptJoinTreeOptOrdering,Query6bOptJoinTreeOptOrdering,Query6cOptJoinTreeOptOrdering,Query6dOptJoinTreeOptOrdering,Query6eOptJoinTreeOptOrdering,Query6fOptJoinTreeOptOrdering,Query7aOptJoinTreeOptOrdering,Query7bOptJoinTreeOptOrdering,Query7cOptJoinTreeOptOrdering,Query8aOptJoinTreeOptOrdering,Query8bOptJoinTreeOptOrdering,Query8cOptJoinTreeOptOrdering,Query8dOptJoinTreeOptOrdering,Query9aOptJoinTreeOptOrdering,Query9bOptJoinTreeOptOrdering,Query9cOptJoinTreeOptOrdering,Query9dOptJoinTreeOptOrdering,Query10aOptJoinTreeOptOrdering,Query10bOptJoinTreeOptOrdering,Query10cOptJoinTreeOptOrdering,Query11aOptJoinTreeOptOrdering,Query11bOptJoinTreeOptOrdering,Query11cOptJoinTreeOptOrdering,Query11dOptJoinTreeOptOrdering,Query12aOptJoinTreeOptOrdering,Query12bOptJoinTreeOptOrdering,Query12cOptJoinTreeOptOrdering,Query13aOptJoinTreeOptOrdering,Query13bOptJoinTreeOptOrdering,Query13cOptJoinTreeOptOrdering,Query13dOptJoinTreeOptOrdering,Query14aOptJoinTreeOptOrdering,Query14bOptJoinTreeOptOrdering,Query14cOptJoinTreeOptOrdering,Query15aOptJoinTreeOptOrdering,Query15bOptJoinTreeOptOrdering,Query15cOptJoinTreeOptOrdering,Query15dOptJoinTreeOptOrdering,Query16aOptJoinTreeOptOrdering,Query16bOptJoinTreeOptOrdering,Query16cOptJoinTreeOptOrdering,Query16dOptJoinTreeOptOrdering,Query17aOptJoinTreeOptOrdering,Query17bOptJoinTreeOptOrdering,Query17cOptJoinTreeOptOrdering,Query17dOptJoinTreeOptOrdering,Query17eOptJoinTreeOptOrdering,Query17fOptJoinTreeOptOrdering,Query18aOptJoinTreeOptOrdering,Query18bOptJoinTreeOptOrdering,Query18cOptJoinTreeOptOrdering,Query19aOptJoinTreeOptOrdering,Query19bOptJoinTreeOptOrdering,Query19cOptJoinTreeOptOrdering,Query19dOptJoinTreeOptOrdering,Query20aOptJoinTreeOptOrdering,Query20bOptJoinTreeOptOrdering,Query20cOptJoinTreeOptOrdering,Query21aOptJoinTreeOptOrdering,Query21bOptJoinTreeOptOrdering,Query21cOptJoinTreeOptOrdering,Query22aOptJoinTreeOptOrdering,Query22bOptJoinTreeOptOrdering,Query22cOptJoinTreeOptOrdering,Query22dOptJoinTreeOptOrdering,Query23aOptJoinTreeOptOrdering,Query23bOptJoinTreeOptOrdering,Query23cOptJoinTreeOptOrdering,Query24aOptJoinTreeOptOrdering,Query24bOptJoinTreeOptOrdering,Query25aOptJoinTreeOptOrdering,Query25bOptJoinTreeOptOrdering,Query25cOptJoinTreeOptOrdering,Query26aOptJoinTreeOptOrdering,Query26bOptJoinTreeOptOrdering,Query26cOptJoinTreeOptOrdering,Query27aOptJoinTreeOptOrdering,Query27bOptJoinTreeOptOrdering,Query27cOptJoinTreeOptOrdering,Query28aOptJoinTreeOptOrdering,Query28bOptJoinTreeOptOrdering,Query28cOptJoinTreeOptOrdering,Query29aOptJoinTreeOptOrdering,Query29bOptJoinTreeOptOrdering,Query29cOptJoinTreeOptOrdering,Query30aOptJoinTreeOptOrdering,Query30bOptJoinTreeOptOrdering,Query30cOptJoinTreeOptOrdering,Query31aOptJoinTreeOptOrdering,Query31bOptJoinTreeOptOrdering,Query31cOptJoinTreeOptOrdering,Query32aOptJoinTreeOptOrdering,Query32bOptJoinTreeOptOrdering,Query33aOptJoinTreeOptOrdering,Query33bOptJoinTreeOptOrdering,Query33cOptJoinTreeOptOrdering
HASH_JOIN,1139.8631706666665,806.4177763333333,529.3394833333333,935.3043683333334,2078.4034681666667,2070.1564353333333,1895.0284331666664,2025.7360646666668,1144.0282118333332,1578.4747646666667,1473.9396716666668,1130.4481985,1034.116314,1198.5768366666668,602.4076846666667,512.1964956666667,971.391043,17946.060316500003,18086.092915,18091.194507333334,17610.012824166664,17745.928579333333,18706.97751183334,8115.972659833334,8165.950414833332,18096.05607916666,1281.0806533333334,687.5264898333334,27934.74179983333,24041.892987999996,1846.2263088333332,1689.6471801666667,2716.7812138333334,3778.674111,1843.458909,1877.0638296666668,2749.8180928333336,1474.2545268333333,1271.0732358333335,1708.567345666667,1771.8064866666666,1423.4246068333334,5471.569940166667,1573.5844626666667,6355.1466565,5627.457578666667,5629.493710166668,6277.436692833333,2029.2038906666667,1608.4904248333332,2140.091356333333,1631.9665750000001,1452.8814966666669,2350.1752605,2289.6033965,19364.166259499998,22642.0464195,19324.2717255,20446.685380166666,19070.65008266667,19116.355877666665,18537.017326166668,18945.482253166665,21338.31701816667,19583.63634566667,6038.3048874999995,1497.666320666667,1755.1609896666662,2111.0184233333334,1897.489478166667,3542.197054,10002.430416666668,18760.20575333333,18980.02036483333,18831.564528833333,1830.2922008333333,1718.0432491666668,2022.7921276666668,2182.776070833334,2177.0419113333332,2439.7197171666667,3050.7824299999997,2363.582657166667,2330.5956565,2494.529850666667,3398.7205529999997,3414.3792780000003,2962.3382108333335,2621.5506728333335,3049.0663356666664,19231.111667666668,19446.944573166667,19173.467432666668,2016.1251311666667,1754.4718223333332,2266.100133,2936.7866523333337,1872.1212848333332,2392.906650166667,3748.2238256666674,3516.2245968333336,4502.136505500001,2900.0368503333334,2516.856981833333,3248.770730833334,3722.0029600000003,2778.382298666667,4033.3935163333335,1774.3148738333336,1908.9882931666668,3256.632014833334,2712.5726826666664,3249.355747833333
TTJHP_NO_NG,1144.3814353333335,818.6042971666667,565.7560363333333,968.694543,1968.82432,2131.929680333333,2013.8084311666669,2099.037686166667,1125.4216283333333,1659.2643748333332,1396.188777,1175.019781166667,1018.7599493333333,1287.9165996666668,616.161923,481.19331983333336,899.0865084999999,18694.932958,18103.957238166666,18321.8638815,18148.09663533333,18022.416928666666,18388.352709833332,8093.472403833333,8037.824508166667,17536.212290333333,1285.2779163333332,653.9448120000001,27036.65126233333,23339.530692,1782.8055366666665,1580.0806243333334,2707.5201923333334,3426.7754135,1782.6213228333334,1857.4507656666667,2736.5774048333333,1687.881169,1297.4071736666667,1736.8747045,1855.1430869999997,1447.5140144999998,5479.126185833334,1554.1121684999998,6196.308061,5699.5282645,5676.604071166667,6262.415903833334,2024.5762691666669,1489.8465765,2213.623291,1722.5437089999998,1414.8758904999997,2259.0610478333333,2271.4869016666667,19086.063777333333,22807.356895166664,18910.020577666666,19851.838324,18858.54146033333,19774.274286,19070.8967495,19520.922065166666,21374.9767335,19895.6707245,6072.898576166666,1387.6893891666666,1761.9096011666663,2069.785005333333,1846.1828655000002,3292.251707333333,8461.903396833333,19242.72224116667,18762.922012333333,19028.615288833334,1817.6429003333333,1688.4659146666665,1826.7021581666665,2084.5058058333334,2215.5915845000004,2481.6770665,2930.1123423333333,2348.3013411666666,2383.2349278333336,2443.2674348333335,3478.3542543333338,3518.7643853333334,2991.320180166667,2565.3140223333335,2925.568761,18898.46104583333,19571.131182,19392.418551666666,2160.0200275,1713.6049928333334,2210.0519888333333,2825.2522346666665,2024.9125921666664,2160.6302695,3520.6246418333326,3614.068498166666,4528.772188333333,3103.5060283333332,2701.7835081666667,3441.612191,3674.642242166667,2701.6976895000003,4075.0136065,1934.2083666666667,1864.900792833333,3118.6893576666666,2682.762498833333,3278.9856176666667
TTJHP_NO_NG perf improv over HJ,-0.003963865824372903,-0.015111919889394965,-0.06879621518251257,-0.035699795486004424,0.05272275082533669,-0.029839892264013,-0.06267979726378797,-0.03618517870049459,0.016264094982572534,-0.05118207270404302,0.052750391458525135,-0.03942823981303105,0.01484974606702391,-0.0745382025306451,-0.022832109688215585,0.06052984761830535,0.07443401400603614,-0.04172908305738103,-9.87738106324148E-4,-0.012750367261441194,-0.030555560438220757,-0.015580382175961607,0.017032404181726073,0.0027723425081698488,0.01569026263420918,0.030937337195691847,-0.00327634562982326,0.04884419484909445,0.032149591499190396,0.029214101250286947,0.03435156993659326,0.06484581936361745,0.0034088212377369987,0.0931275593403508,0.033001867234278885,0.010448799710494156,0.004815114146826161,-0.14490485752520094,-0.020717876115193604,-0.01656789175160531,-0.047034820653645885,-0.01692355713890435,-0.00138100138521422,0.01237448299004443,0.024993694730481367,-0.012806970967946122,-0.008368489854588422,0.0023928220601806783,0.0022805108551607715,0.07376099136283429,-0.03435925034184097,-0.05550183158622575,0.026158779125388443,0.038769114030790315,0.007912503475941402,0.014361707002501539,-0.007301039517536499,0.02143683103393198,0.0290925910535929,0.011122254428344117,-0.034416518113788125,-0.028800718796314285,-0.030373458131624915,-0.001718022808552364,-0.015933423871117534,-0.005729039740653014,0.07343219913701839,-0.0038450099675938123,0.019532476620877613,0.02703920799404834,0.07056223661651413,0.15401526985545566,-0.02572021299647015,0.011438257089662708,-0.010463854965331962,0.006911082555146521,0.0172157100901544,0.09694024750145443,0.04502077254424144,-0.01770736381600359,-0.017197610462426318,0.03955381625384096,0.006465319058618799,-0.02258618786425832,0.020549930809460288,-0.02343049394368202,-0.030572206200383648,-0.009783477533843269,0.02145167403505508,0.04050340696823972,0.017297524323184318,-0.0063859187938803035,-0.011419484752505487,-0.07137200668197917,0.023292952887467605,0.024733304301282875,0.037978386199096534,-0.08161400042355457,0.09706871793368495,0.06072187639244129,-0.02782640830777682,-0.005916231727046374,-0.07016089398195505,-0.07347518260597755,-0.05935828537743601,0.012724524494556872,0.02760045268193194,-0.010318876647697518,-0.09011562445389967,0.023094693923031116,0.04235745903693291,0.010989635051558332,-0.009118690636779506
