Algorithm,Query1aOptJoinTreeOptOrdering,Query1bOptJoinTreeOptOrdering,Query1cOptJoinTreeOptOrdering,Query1dOptJoinTreeOptOrdering,Query2aOptJoinTreeOptOrdering,Query2bOptJoinTreeOptOrdering,Query2cOptJoinTreeOptOrdering,Query2dOptJoinTreeOptOrdering,Query3aOptJoinTreeOptOrdering,Query3bOptJoinTreeOptOrdering,Query3cOptJoinTreeOptOrdering,Query4aOptJoinTreeOptOrdering,Query4bOptJoinTreeOptOrdering,Query4cOptJoinTreeOptOrdering,Query5aOptJoinTreeOptOrdering,Query5bOptJoinTreeOptOrdering,Query5cOptJoinTreeOptOrdering,Query6aOptJoinTreeOptOrdering,Query6bOptJoinTreeOptOrdering,Query6cOptJoinTreeOptOrdering,Query6dOptJoinTreeOptOrdering,Query6eOptJoinTreeOptOrdering,Query6fOptJoinTreeOptOrdering,Query7aOptJoinTreeOptOrdering,Query7bOptJoinTreeOptOrdering,Query7cOptJoinTreeOptOrdering,Query8aOptJoinTreeOptOrdering,Query8bOptJoinTreeOptOrdering,Query8cOptJoinTreeOptOrdering,Query8dOptJoinTreeOptOrdering,Query9aOptJoinTreeOptOrdering,Query9bOptJoinTreeOptOrdering,Query9cOptJoinTreeOptOrdering,Query9dOptJoinTreeOptOrdering,Query10aOptJoinTreeOptOrdering,Query10bOptJoinTreeOptOrdering,Query10cOptJoinTreeOptOrdering,Query11aOptJoinTreeOptOrdering,Query11bOptJoinTreeOptOrdering,Query11cOptJoinTreeOptOrdering,Query11dOptJoinTreeOptOrdering,Query12aOptJoinTreeOptOrdering,Query12bOptJoinTreeOptOrdering,Query12cOptJoinTreeOptOrdering,Query13aOptJoinTreeOptOrdering,Query13bOptJoinTreeOptOrdering,Query13cOptJoinTreeOptOrdering,Query13dOptJoinTreeOptOrdering,Query14aOptJoinTreeOptOrdering,Query14bOptJoinTreeOptOrdering,Query14cOptJoinTreeOptOrdering,Query15aOptJoinTreeOptOrdering,Query15bOptJoinTreeOptOrdering,Query15cOptJoinTreeOptOrdering,Query15dOptJoinTreeOptOrdering,Query16aOptJoinTreeOptOrdering,Query16bOptJoinTreeOptOrdering,Query16cOptJoinTreeOptOrdering,Query16dOptJoinTreeOptOrdering,Query17aOptJoinTreeOptOrdering,Query17bOptJoinTreeOptOrdering,Query17cOptJoinTreeOptOrdering,Query17dOptJoinTreeOptOrdering,Query17eOptJoinTreeOptOrdering,Query17fOptJoinTreeOptOrdering,Query18aOptJoinTreeOptOrdering,Query18bOptJoinTreeOptOrdering,Query18cOptJoinTreeOptOrdering,Query19aOptJoinTreeOptOrdering,Query19bOptJoinTreeOptOrdering,Query19cOptJoinTreeOptOrdering,Query19dOptJoinTreeOptOrdering,Query20aOptJoinTreeOptOrdering,Query20bOptJoinTreeOptOrdering,Query20cOptJoinTreeOptOrdering,Query21aOptJoinTreeOptOrdering,Query21bOptJoinTreeOptOrdering,Query21cOptJoinTreeOptOrdering,Query22aOptJoinTreeOptOrdering,Query22bOptJoinTreeOptOrdering,Query22cOptJoinTreeOptOrdering,Query22dOptJoinTreeOptOrdering,Query23aOptJoinTreeOptOrdering,Query23bOptJoinTreeOptOrdering,Query23cOptJoinTreeOptOrdering,Query24aOptJoinTreeOptOrdering,Query24bOptJoinTreeOptOrdering,Query25aOptJoinTreeOptOrdering,Query25bOptJoinTreeOptOrdering,Query25cOptJoinTreeOptOrdering,Query26aOptJoinTreeOptOrdering,Query26bOptJoinTreeOptOrdering,Query26cOptJoinTreeOptOrdering,Query27aOptJoinTreeOptOrdering,Query27bOptJoinTreeOptOrdering,Query27cOptJoinTreeOptOrdering,Query28aOptJoinTreeOptOrdering,Query28bOptJoinTreeOptOrdering,Query28cOptJoinTreeOptOrdering,Query29aOptJoinTreeOptOrdering,Query29bOptJoinTreeOptOrdering,Query29cOptJoinTreeOptOrdering,Query30aOptJoinTreeOptOrdering,Query30bOptJoinTreeOptOrdering,Query30cOptJoinTreeOptOrdering,Query31aOptJoinTreeOptOrdering,Query31bOptJoinTreeOptOrdering,Query31cOptJoinTreeOptOrdering,Query32aOptJoinTreeOptOrdering,Query32bOptJoinTreeOptOrdering,Query33aOptJoinTreeOptOrdering,Query33bOptJoinTreeOptOrdering,Query33cOptJoinTreeOptOrdering
HASH_JOIN,1280.0620408333332,875.8782351666665,568.3752548333333,1046.4435443333334,2225.733083333333,2213.6808946666665,2194.7047406666666,2450.9576691666666,1266.1632191666667,1586.0260135,1592.4638201666667,1119.3649275,1209.610708,1452.7022495,627.4284260000001,522.7970001666666,897.8370711666668,21310.79404,20239.967321499997,19875.7072115,21330.848659833333,20407.161623166667,22966.435049000003,8737.374673666665,8637.693124500001,20313.480951333335,1213.6252226666668,697.9155043333334,28613.925464333337,25231.793739666668,1914.3791721666664,1615.3298196666667,2886.724337333333,4242.1731881666665,2047.6615023333334,2000.575481333333,2891.478089333333,1851.8321315,1507.8241481666666,1932.128445,1928.9452995,1311.9819456666667,6048.051089500001,1591.0259253333334,6909.126014333334,6172.681923666666,6081.6506955,7036.872848666666,2051.6473966666667,1650.0705551666667,2501.2233771666665,1892.385978,1832.272970833333,2467.6714978333334,2573.180626,20997.934787666665,27349.6239515,22381.532678666666,22886.798620999998,21727.375523,21896.161912166663,21190.0335205,22054.068563833327,24924.310872500002,21762.60490833333,6674.384983666667,1472.1484538333334,2077.0774418333335,2100.7323023333333,1992.503729,3551.606825833333,10965.787889166668,21681.933519666665,21445.902597,21758.9069375,2082.5237144999996,2073.4103028333334,2319.1985081666667,2437.3915841666667,2348.6242896666668,2613.671569,3168.9564279999995,2535.8912638333336,2310.992804,2508.8023828333335,3681.526431833334,3473.2707471666668,2976.0344456666667,2759.364170166667,3108.703124,21996.317263499997,21486.705391166666,22942.20746816667,2190.240714333333,1781.4638821666667,2453.9623895,2961.9523838333334,2385.8499349999997,2713.749565166667,4026.8674181666665,3163.127998666667,4814.8184845000005,2836.2450423333335,2746.518093833333,3589.9560005,3875.232753166667,2841.8636435000003,4604.417654666667,2104.9308005,2177.4117851666665,3143.1156855000004,3000.5056848333334,3382.1849278333334
TTJHP_NO_NG,1264.7231198333334,870.2962729999999,543.5576399999999,1052.6662090000002,2421.5648836666664,2288.2006656666667,2439.415867,2435.705498,1276.1338663333333,1566.2552706666668,1612.6427993333334,1353.241194,1200.5127281666666,1601.7119463333331,661.4840626666667,506.6477203333333,907.1201278333334,21003.189218,20069.570492833333,20204.501233333332,22136.389300833336,21588.892827499996,22494.5915275,8810.3744885,9034.379014666667,20594.93385116667,1296.8669865000002,769.6861346666666,29668.40038733334,24869.847871500006,1954.9806013333334,1592.1581228333334,2712.030213833333,4072.328671333333,2157.6025343333336,1990.9857465000002,3077.7135635,1886.0398180000002,1550.0265871666668,1973.9746403333336,1982.4631186666668,1352.4022801666667,6030.473745166666,1590.1229348333334,6716.810747666667,6143.410177666666,6267.578372333333,6988.409984999999,2203.0149453333333,1703.7878436666667,2405.366375833333,1734.2160296666668,1721.2410316666667,2658.6718511666663,2376.7081916666666,22374.501589833333,25596.497639666664,22546.830088999995,22699.6031215,22626.321131499997,21632.452664,21950.98582916667,21641.247254,24998.643098166667,22733.174836000002,6559.78662,1435.3717104999998,2133.3489846666666,2088.5134085000004,1725.642448333333,3683.454588666667,8360.875624833332,21914.068040333335,21503.307103333333,22592.905059166664,1948.1434700000002,2219.5782456666666,2336.437779,2369.1239376666667,2380.6090896666665,2638.9915355000003,3026.7771945000004,2590.4003905,2533.5482721666667,2509.6106398333336,3679.5058923333327,3273.1273751666668,3310.7493843333336,2744.2679206666667,3229.2843548333335,21521.1104545,21282.3771675,21499.213311833333,2151.1792376666667,1909.687149,2688.792043666667,2855.2237361666666,2196.925501166667,2725.5967086666665,3501.241137833333,3333.3270653333334,4560.718344666667,2975.8952605,2611.283090833333,3515.8770070000005,3887.615635166667,2835.6556723333338,4717.715349,1945.1530228333334,2178.2880873333334,3197.9659288333332,2886.071433333334,3235.3609678333337
TTJHP_NO_NG perf improv over HJ,0.011982951224781269,0.006372988781487899,0.043664136716526816,-0.0059464886570934055,-0.08798530326918134,-0.033663285064951205,-0.11150070521969156,0.006222943528785056,-0.007874693416879412,0.012465585472777818,-0.01267154638687793,-0.2089365681863388,0.007521411453422157,-0.10257414889019417,-0.054278122022266485,0.030890153975988675,-0.010339355507568952,0.014434226215251863,0.008418829238210246,-0.016542506806655546,-0.037764115898345,-0.05790767114775049,0.020544917854830393,-0.008354891207005975,-0.04592498071522169,-0.013855473638793529,-0.06858934890165552,-0.10283570129580419,-0.036851809246318985,0.014344833026977795,-0.021208666369220315,0.014344870348592274,0.06051638573199441,0.04003714824918186,-0.053691018693627406,0.004793488135194741,-0.06440839889248676,-0.018472347421843043,-0.027988966121356557,-0.02165808150158129,-0.02774460176788796,-0.030808605738443306,0.0029062823830722237,5.675523482188406E-4,0.02783496295590769,0.004742143911185446,-0.030571909855149446,0.006886988682174255,-0.0737785395836512,-0.03255454036907788,0.03832404662790179,0.08358228721420657,0.06059792450912376,-0.0774010452773131,0.07635392259219242,-0.06555724722867542,0.06410056368388152,-0.007385437481271559,0.008179191096138488,-0.041373869915784324,0.012043628889140226,-0.03591085912773558,0.018718600998199258,-0.002982318189133122,-0.04459805853916966,0.017169876167932814,0.02498168118681948,-0.027091692249887903,0.0058164925725001215,0.13393263800846164,-0.037123411824279785,0.23754902891262225,-0.010706356997917728,-0.002676712069995251,-0.03832904493144941,0.0645275938825327,-0.07049639072092649,-0.00743328816943785,0.0280084853592946,-0.013618525594206142,-0.009687508866956723,0.04486626330477243,-0.021495056765276535,-0.09630296891511513,-3.221684599515283E-4,5.488319960248079E-4,0.057623890151168804,-0.11247011577908228,0.005470915967966823,-0.038788274731805295,0.021603925934844514,0.009509518557957614,0.06289691863067476,0.017834330451005177,-0.07197634940394335,-0.09569407223658137,0.036033208450346355,0.0791853800450081,-0.00436559940978639,0.13052982026724835,-0.05380720183894218,0.05277460420394665,-0.04923771256794458,0.049238708204267255,0.020635070036981458,-0.0031953905194161934,0.0021844718626333835,-0.024606302649044856,0.07590642772138317,-4.024512830492333E-4,-0.017450914577013855,0.03813832184302486,0.043410979332243915
