Algorithm,queryName,numRelations,resultSetSize,totalTupesRemoved
LIP,org.zhu45.treetracker.benchmark.job.q5.Query53,5,67371414,42
LIP,org.zhu45.treetracker.benchmark.job.q6.Query62,5,215765477,2064182
LIP,org.zhu45.treetracker.benchmark.job.q7.Query7,8,54907575,36173787
LIP,org.zhu45.treetracker.benchmark.job.q8c.Query8c4,7,87239860,0
LIP,org.zhu45.treetracker.benchmark.job.q9.Query9,8,46625835,89968
LIP,org.zhu45.treetracker.benchmark.job.q10.Query103,7,36607784,27155375
LIP,org.zhu45.treetracker.benchmark.job.q11.Query11,8,4139776,2600256
LIP,org.zhu45.treetracker.benchmark.job.q12.Query12,7,0,1254240
LIP,org.zhu45.treetracker.benchmark.job.q13.Query13,8,0,1254240
LIP,org.zhu45.treetracker.benchmark.job.q14.Query146,7,0,0
LIP,org.zhu45.treetracker.benchmark.job.q15.Query153,9,17017908467,2417850
LIP,org.zhu45.treetracker.benchmark.job.q16.Query161,7,3185061897,1370242
LIP,org.zhu45.treetracker.benchmark.job.q17.Query172,7,3101350543,26732966
LIP,org.zhu45.treetracker.benchmark.job.q18.Query181,6,0,22617749
LIP,org.zhu45.treetracker.benchmark.job.q19.Query191,10,3129008894,97484
LIP,org.zhu45.treetracker.benchmark.job.q20.Query20,9,82254916,55322
LIP,org.zhu45.treetracker.benchmark.job.q21.Query211,9,882246380,2600256
LIP,org.zhu45.treetracker.benchmark.job.q22.Query22,10,0,1660234
LIP,org.zhu45.treetracker.benchmark.job.q23.Query23,11,5527061593,60491
LIP,org.zhu45.treetracker.benchmark.job.q27.Query273,10,166880211,134693
LIP,org.zhu45.treetracker.benchmark.job.q28.Query28,12,0,66091
LIP,org.zhu45.treetracker.benchmark.job.q32.Query32,5,288192,4498859
LIP,org.zhu45.treetracker.benchmark.job.q33.Query331,8,426861,2596885
LIP,org.zhu45.treetracker.benchmark.job.q25.Query25,8,0,28265030
LIP,org.zhu45.treetracker.benchmark.job.q26.Query26,11,248440655,64195
LIP,org.zhu45.treetracker.benchmark.job.q30.Query30,10,0,64195
