Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
TTJHP_VANILLA,161.54467943577527,81.866039361856,54.84587226329297,2782.860053900001,2646.5533867199997,2635.87243698,2723.9760633999995,2503.80252512,2539.9128085800007,865.7255915600002,1420.1130433799997,1390.2207301399997,946.7810937233335
HASH_JOIN,168.57966421632054,76.90782508538285,54.018596295608276,2697.7266642799996,2526.3937695800005,2627.3016234199986,2666.7071767600005,2459.1230278799994,2442.95799468,886.5182623666665,1422.885453470001,1370.2006701500002,937.8066508733333
Yannakakis1Pass,252.72545540444443,86.77772021459994,60.33740203830757,1698.3565851200005,1532.9278177900005,1460.66370857,1969.9788166699996,1504.1518674699996,1479.32391589,906.8924615633333,1407.7536021800001,1251.2902561399999,1026.4255298399999
TTJHP_NO_DP,122.39274090130233,54.88490957825898,38.054174381930025,549.8323693139997,469.0897809949999,449.0957440240001,703.5838763783336,494.81794222133334,472.63545969599994,485.73014350866674,697.23361272,589.0560252833332,552.5368522
TTJHP_NO_NG,166.979235565402,77.2433781489563,52.95470315277606,2770.2701155999994,2696.8828379399997,2623.47072958,2705.2557156000003,2493.8395131800003,2519.53955956,884.9190573466668,1415.2737111899999,1395.4069263500005,947.3291855033333
TTJHP,121.5437047185686,54.86449661690367,38.51154163574363,553.540761275,468.150393338,450.1543859519999,700.1552229066667,500.33719604900006,472.047056394,501.4466652829999,704.8438161249998,579.4019212333334,549.194478114
TTJHP_NO_NG perf improv over HJ,0.009493604453173361,-0.004363054906323413,0.01969494240483825,-0.02689058616669048,-0.0674831732142619,0.0014581096459765999,-0.014455482467645931,-0.014117425157833518,-0.03134788442812795,0.0018039166116334585,0.00534951162894973,-0.01839603260246612,-0.01015404894082605
Yannakakis1Pass perf improv over HJ,-0.49914556170991337,-0.12833408197747828,-0.1169746379213674,0.3704489755735585,0.3932348012222807,0.4440441494994276,0.2612691660193876,0.3883380984127812,0.3944538059551143,-0.022982266763772553,0.010634623646688312,0.08678321110219775,-0.09449589516574675
TTJHP perf improv over HJ,0.2790132470390713,0.28662009937229066,0.28706881931927153,0.7948121399383005,0.8146961890996797,0.8286628448217427,0.7374457799459848,0.796538363320383,0.806772340162225,0.43436397582568903,0.5046376963050033,0.5771408277227711,0.41438410827801
TTJHP_VANILLA perf improv over HJ,0.041730921776650456,-0.06446956822623116,-0.015314651331507284,-0.03155745567081854,-0.04756171369120148,-0.003262211496236533,-0.02147550624946366,-0.018168874323672514,-0.03968746663313004,0.023454306232967757,0.0019484422187606612,-0.014611042328426114,-0.009569608875819674
TTJHP_NO_DP perf improv over HJ,0.27397683777416587,0.286354678248593,0.2955356675007892,0.7961867758530884,0.8143243596294241,0.8290657836844004,0.7361600544259326,0.7987827625493329,0.8065314832570791,0.45209234357795175,0.5099861264168164,0.5700950684698999,0.4108200750277794
