stats,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
total_sample_count,1010,777,707,2359,2254,2133,2668,2063,1997,1698,3351,2598,1962
main_sample_count,483,309,285,1691,1609,1563,1976,1483,1442,1186,2057,1567,1369
join_fragment_eval_count,277,103,83,1420,1341,1295,1702,1215,1177,913,1747,1268,1072
cursor_count,38,40,38,76,81,77,81,76,77,74,98,92,92
bloom_filter_build_count,2,0,0,7,4,4,6,1,2,2,30,30,5
bloom_filter_probe_count,56,12,11,688,723,721,723,613,574,315,761,496,447
