stats,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
total_sample_count,968,777,716,1940,1728,1747,2188,1774,1740,1627,2843,2516,1899
main_sample_count,461,320,281,1321,1192,1161,1581,1199,1163,1077,1765,1499,1332
join_fragment_eval_count,254,108,74,1052,911,898,1308,908,898,800,1471,1206,1040
cursor_count,38,36,38,80,79,81,75,74,76,76,95,95,90
ng_probing_count,19,11,6,330,296,274,313,252,265,142,476,397,333
ng_construct_count,0,0,1,0,1,1,1,1,2,0,0,1,0
remove_dangling_tuple_from_rinner_count,0,0,0,0,0,0,0,0,0,0,0,0,0
