stats,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
total_sample_count,1719,1070,949,4961,4190,3929,7816,4102,3738,2856,6910,7805,3352
main_sample_count,916,534,473,3706,3310,3218,4353,3244,3095,2281,4537,6283,2704
join_fragment_eval_count,580,193,136,3149,2763,2672,3809,2691,2528,1700,3869,5609,2041
cursor_count,49,51,53,112,116,113,106,112,113,112,142,147,138
full_reducer_count,455,183,128,3061,2737,2663,3403,2671,2522,1697,3614,5482,2037
