Algorithm,Query3W,Query7W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19W,Query20W
Yannakakis1Pass,863.1109678633336,1750.0552826233331,9963.183891499999,756.5291187933332,134.99654407655254,837.2567902000001,229.36105528343433,70.56344422450775,418.1265139489523,999.7530937666667,176.64098818024826,136.26341072282145
HASH_JOIN,817.0363305566666,2328.219712463334,5904.450759980001,415.5888717600002,355.0911115729523,425.63933158233345,121.37600700026807,67.7584650066296,224.08164520790405,885.1480743333334,143.70609304093955,130.6150180953333
TTJHP,459.183614542,2345.9316860966665,3913.5207858599997,309.25524515576194,82.71657038738184,432.35718594199994,119.51050171549105,66.9253068194327,232.39029877115448,457.86489584733334,128.87441299412578,127.04910913898043
Yannakakis1Pass perf improv over HJ,-0.05639239723315025,0.24832898147240734,-0.6874023167455029,-0.820378672772123,0.6198256174913633,-0.967056914330403,-0.8896737580346316,-0.04139673497036418,-0.865956105244642,-0.12947553381918644,-0.22918231539372577,-0.0432445878724718
TTJHP perf improv over HJ,0.43798874374515623,-0.007607518112881465,0.3371913925702286,0.2558625454861679,0.7670553621548819,-0.015782973661509526,0.015369637961256288,0.012296001497604514,-0.037078688687516646,0.4827250839446459,0.10320842862653337,0.027300910786156297
