Algorithm,Query3W,Query7W,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19W,Query20W
TTJHP_VANILLA,380.82418033209535,1377.3806062350004,937.6832367133335,3033.1008802399992,224.82571468430092,64.38733849338405,250.38147959248414,65.77943137912501,56.184393108964834,112.73401679726926,409.7448178856667,133.97561161115632,125.3789181932353
Yannakakis1Pass,465.8840752900001,926.0213086249998,669.9748329233335,6005.8975491,396.40567565866667,87.65413008825156,495.92244190100007,133.00822848027198,67.14041962243012,218.73754788482321,447.5248312129999,172.48806824235763,137.39629095980953
HASH_JOIN,380.0185586517143,1397.3549693333334,938.4880352433331,3068.9023388599994,221.75211801255125,103.62740028637907,250.1722939366112,65.47005247454238,56.437479774654655,113.98101431592613,418.21995100933316,134.27236164190776,127.67776758431866
TTJHP_NO_DP,359.6071413561904,1385.792456988333,939.7494878166667,1610.2883686000005,212.52261041753536,69.37752457504426,251.35820061407216,65.14617889909647,56.444939225929204,115.11493652262418,416.6919984283333,136.73446425880024,126.68906707558827
TTJHP_NO_NG,382.1822244132381,1392.1108191450003,941.6587984766669,3025.9268160600004,227.9650890707229,64.28841190884455,251.5837758726241,66.33397668258755,56.66262382065367,113.42963423004223,406.4428756439998,136.22437823959785,128.79284007959805
TTJHP,354.25407519428575,1387.5643341149998,942.0976730199999,1620.0530316900001,216.43044154311326,69.42458841365494,252.72980121127787,65.92472122519685,56.85558403848047,115.24050713852965,434.11772368566665,138.67447007106733,128.82486702944115
TTJHP_NO_NG perf improv over HJ,-0.0056935792009747835,0.003752911968270376,-0.003378586741930775,0.014003548518250683,-0.028017640209506384,0.37961956267183605,-0.005642039387345374,-0.013195715833297886,-0.003989264703136614,0.004837473058062302,0.02816000369401444,-0.014537739366616202,-0.008733489912744566
Yannakakis1Pass perf improv over HJ,-0.22595085077668878,0.33730417184776107,0.2861125472424153,-0.9570181406720821,-0.7876071679109282,0.15414137722247825,-0.9823235982584754,-1.0315888479238868,-0.18964241299417509,-0.9190700240527676,-0.07007049791130786,-0.2846133495616,-0.07611758538206538
TTJHP perf improv over HJ,0.06779796110179342,0.007006548395505133,-0.0038462267403663367,0.47210668414694523,0.0239983117957718,0.3300556781141193,-0.010222983666267612,-0.006944682850701211,-0.007408273110267105,-0.011050022937263291,-0.03801294662764357,-0.03278491846966685,-0.008984331938330184
TTJHP_VANILLA perf improv over HJ,-0.0021199535181633837,0.014294408748453244,8.575479918515531E-4,0.011665883976385932,-0.013860506493902813,0.3786649253436187,-8.361663579179028E-4,-0.004725502621262292,0.004484372206206825,0.010940396750642276,0.020264774799032322,0.002210060410964137,0.018005087609048308
TTJHP_NO_DP perf improv over HJ,0.053711632842202435,0.00827457059856222,-0.0013441328242469574,0.47528849380128146,0.041620831754551696,0.3305098421525939,-0.00474035976886173,0.004946896530621414,-1.3217194148876772E-4,-0.009948342831509676,0.003653466500850299,-0.018336630016672267,0.0077437170733538185
