Algorithm,Query3W,Query7W,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19W,Query20W
HASH_JOIN,1047.6226581899998,2158.2876469033336,2949.16153926,4734.1065475,535.1605788370001,188.4187409194382,388.0062030113333,106.12465300624973,57.64217676482014,420.2852390237143,1286.9775380199994,312.258292350207,114.09037534786377
TTJHP,1022.2055728933333,2014.8328013566668,1377.8178671800001,4778.458101440001,514.2553175130001,188.33138705734268,392.24892246580947,107.19710956434176,57.33728585768254,413.1711003476666,1296.77830311,312.35753421148866,112.7271509675576
YannakakisB,3190.660213,7354.920665,6366.587031,14144.929737,1579.0282615,514.80101225,1184.1307785,283.545317375,76.27860588888889,1304.5394685,5080.888644,694.9512286666667,129.9170303125
Yannakakis,4116.069378,8356.792399999998,7555.347412,17522.727453,2003.184653,463.4114046,1140.7671515,271.0463925,75.09630966666667,1276.6355105,6714.273071,682.0553017777778,130.5268641875
YannakakisB perf improv over HJ,-2.045619706729685,-2.407757383754055,-1.1587786719195774,-1.9878773523738487,-1.9505690888733087,-1.7322176644313338,-2.051834659626337,-1.6718138466686143,-0.3233123759379405,-2.103938343231684,-2.9479233272531626,-1.2255653274605696,-0.13872033391406116
Yannakakis perf improv over HJ,-2.9289617743772567,-2.8719548860830257,-1.561862858789274,-2.7013800338425953,-2.7431468837881883,-1.4594761770440863,-1.9400745210938783,-1.5540379621692424,-0.302801418708723,-2.0375454381065397,-4.217086446846488,-1.1842664181767586,-0.1440655163901517
TTJHP perf improv over HJ,0.02426167962096216,0.06646697244108904,0.5328103093580556,-0.009368516212087091,0.03906352999585818,4.6361557066587855E-4,-0.010934669140720535,-0.010105630762617156,0.00528937184974048,0.01692692965513909,-0.007615335000390887,-3.178197784107277E-4,0.011948636124210009
