Algorithm,Query3WOptJoinTreeOptOrdering,Query7WOptJoinTreeOptOrdering,Query8WOptJoinTreeOptOrdering,Query9WOptJoinTreeOptOrdering,Query10WOptJoinTreeOptOrdering,Query11WOptJoinTreeOptOrdering,Query12WOptJoinTreeOptOrdering,Query14WOptJoinTreeOptOrdering,Query15WOptJoinTreeOptOrdering,Query16WOptJoinTreeOptOrdering,Query18WOptJoinTreeOptOrdering,Query19WOptJoinTreeOptOrdering,Query20WOptJoinTreeOptOrdering
HASH_JOIN,1132.8893473333335,2383.819605333333,3207.2968191666664,7795.791908666666,538.2022495,204.1859443333333,324.0669448333333,117.83187483333334,33.19057016666667,449.7384583333333,1491.6390246666667,358.16692658333335,101.84093141666665
TTJHP,1132.4623768333333,2332.0089675,3050.274113,5553.080843000001,562.6331826666667,202.43844441666667,473.7446226666666,118.32546091666666,34.31756705555556,374.825736,1366.8143653333334,357.61915891666666,97.3701575
TTJHP perf improv over HJ,3.7688632257438235E-4,0.021734294708130167,0.048957958997840674,0.2876822639626154,-0.045393591701564796,0.008558375173042514,-0.46187270938821634,-0.004188901212269282,-0.03395533379600493,0.16656952712238396,0.08368288658928565,0.001529364176340943,0.043899578042694384
