Algorithm,Query3W,Query7W,Query8W,Query9W,Query10W,Query11W,Query12W,Query14W,Query15W,Query16W,Query18W,Query19W,Query20W
HASH_JOIN,1047.6226581899998,2158.2876469033336,2949.16153926,4734.1065475,535.1605788370001,188.4187409194382,388.0062030113333,106.12465300624973,57.64217676482014,420.2852390237143,1286.9775380199994,312.258292350207,114.09037534786377
TTJHP,1022.2055728933333,2014.8328013566668,1377.8178671800001,4778.458101440001,514.2553175130001,188.33138705734268,392.24892246580947,107.19710956434176,57.33728585768254,413.1711003476666,1296.77830311,312.35753421148866,112.7271509675576
TTJHP perf improv over HJ,0.02426167962096216,0.06646697244108904,0.5328103093580556,-0.009368516212087091,0.03906352999585818,4.6361557066587855E-4,-0.010934669140720535,-0.010105630762617156,0.00528937184974048,0.01692692965513909,-0.007615335000390887,-3.178197784107277E-4,0.011948636124210009
