Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
HASH_JOIN,172.20137079282517,74.16925867358121,48.83511947407163,2864.8115794200003,2775.7644159800006,2624.5893185000004,2835.62617042,2599.1130878000004,2620.0788667400006,902.5229259800003,2985.290858079999,1520.0154932600003,1357.28560475
LIP,172.66731385141028,68.42563082485215,44.31497956182259,881.9755795399999,811.7258248266667,779.7937428999999,1105.96455171,772.9341453933334,734.4547222683336,718.7388129399999,1164.4626276399997,949.2142334399999,791.1435787833332
TTJHP,124.90146505292296,47.096626302843646,33.459960026292954,570.1855267799998,480.66214914100004,459.54056046399995,706.0375416799999,479.54049587199995,465.9081742369999,400.6236532946668,725.8208950600002,592.9892663083334,528.6425827999999
Yannakakis,467.166042932,146.62871342192307,84.23227686518827,5159.74145184,4922.869011320001,4840.9305799,6068.2415685000005,5051.93461342,4825.9833820799995,3227.2193310800003,6158.168787379997,4370.56670118,4011.64780796
Yannakakis perf improv over HJ,-1.7129054825820504,-0.9769472695855813,-0.7248299537776353,-0.8010753268752926,-0.7735183083186661,-0.8444525952222798,-1.1400005514835547,-0.9437148145393595,-0.8419229448938944,-2.5757754603028387,-1.0628371170977446,-1.8753435215363357,-1.955640134928647
TTJHP perf improv over HJ,0.274677869996799,0.365011500113331,0.31483816592159497,0.800969274602193,0.8268361153512016,0.8249095364273464,0.7510117698005924,0.8154984105451512,0.8221778053510655,0.5561069511229851,0.7568676120467489,0.609879459164893,0.6105148533588322
LIP perf improv over HJ,-0.002705803423282185,0.07743946685522042,0.09255920659002283,0.692134873415109,0.7075667444421497,0.7028892339828366,0.6099751923413129,0.7026161927999918,0.7196822081992633,0.20363373355911074,0.609933275182128,0.3755233169339572,0.4171134092820097
