Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
HASH_JOIN,172.20137079282517,74.16925867358121,48.83511947407163,2864.8115794200003,2775.7644159800006,2624.5893185000004,2835.62617042,2599.1130878000004,2620.0788667400006,902.5229259800003,2985.290858079999,1520.0154932600003,1357.28560475
LIP,172.66731385141028,68.42563082485215,44.31497956182259,881.9755795399999,811.7258248266667,779.7937428999999,1105.96455171,772.9341453933334,734.4547222683336,718.7388129399999,1164.4626276399997,949.2142334399999,791.1435787833332
TTJHP,124.90146505292296,47.096626302843646,33.459960026292954,570.1855267799998,480.66214914100004,459.54056046399995,706.0375416799999,479.54049587199995,465.9081742369999,400.6236532946668,725.8208950600002,592.9892663083334,528.6425827999999
YannakakisB,265.9184347275001,83.55592528053114,55.74164073246021,1528.0604824600002,1329.2435423899997,1300.97053613,2007.91858684,1315.0509200799997,1299.0506127,858.3609193600001,1894.0310417600003,1242.6194394599997,1064.0203451566665
Yannakakis,297.7034053939285,88.1616868637747,58.398444539354905,1891.8059768799994,1627.6616637,1493.4354983900007,2460.7761422000003,1527.8051858199992,1479.16876269,967.5396800433327,2247.2777005800003,1404.8797974399997,1172.49470905
YannakakisB perf improv over HJ,-0.5442294884366836,-0.1265573739689193,-0.14142529664651496,0.4666104767806873,0.5211252314001935,0.5043146266885183,0.2918958754910221,0.4940385909898539,0.5041940801131963,0.048931728323739876,0.36554555927654114,0.18249554365071965,0.21606746477455666
Yannakakis perf improv over HJ,-0.7288097302784794,-0.1886553599217453,-0.19582884547586282,0.33964034826227285,0.413616784504623,0.4309831683520202,0.1321930345157164,0.41218210435268193,0.4354487639792169,-0.07203889473803038,0.2472165000279586,0.07574639622459856,0.13614739230512712
TTJHP perf improv over HJ,0.274677869996799,0.365011500113331,0.31483816592159497,0.800969274602193,0.8268361153512016,0.8249095364273464,0.7510117698005924,0.8154984105451512,0.8221778053510655,0.5561069511229851,0.7568676120467489,0.609879459164893,0.6105148533588322
LIP perf improv over HJ,-0.002705803423282185,0.07743946685522042,0.09255920659002283,0.692134873415109,0.7075667444421497,0.7028892339828366,0.6099751923413129,0.7026161927999918,0.7196822081992633,0.20363373355911074,0.609933275182128,0.3755233169339572,0.4171134092820097
