Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
HASH_JOIN,172.20137079282517,74.16925867358121,48.83511947407163,2864.8115794200003,2775.7644159800006,2624.5893185000004,2835.62617042,2599.1130878000004,2620.0788667400006,902.5229259800003,2985.290858079999,1520.0154932600003,1357.28560475
LIP,172.66731385141028,68.42563082485215,44.31497956182259,881.9755795399999,811.7258248266667,779.7937428999999,1105.96455171,772.9341453933334,734.4547222683336,718.7388129399999,1164.4626276399997,949.2142334399999,791.1435787833332
TTJHP,124.90146505292296,47.096626302843646,33.459960026292954,570.1855267799998,480.66214914100004,459.54056046399995,706.0375416799999,479.54049587199995,465.9081742369999,400.6236532946668,725.8208950600002,592.9892663083334,528.6425827999999
YannakakisB,153.06703412002332,6.2843407157283435,0.7857748486441435,2189.27313338,1616.6409697396668,1283.1927192708865,2658.447308,911.8863710042331,180.94121079489153,2.9646745538528414,2628.6736832,580.8462951549525,12.081461937908152
Yannakakis,141.70472709162837,4.1294961356542235,0.7111426716171245,1381.7815194900002,576.4846063672102,290.0190420335988,2563.5317183999996,494.88620414027207,255.15596328117292,41.392498820186965,2335.4738248,396.5088773302857,154.82788397977274
YannakakisB perf improv over HJ,0.11111605316906739,0.9152702773613294,0.9839096359933891,0.2358055415905458,0.41758711206444304,0.5110881880734568,0.06248315249317839,0.6491547923464568,0.9309405479767007,0.9967151254904315,0.1194581003438166,0.6178681745478773,0.9910988064003423
Yannakakis perf improv over HJ,0.17709872784861394,0.9443233462285483,0.9854378840622127,0.5176710645068843,0.7923150094984992,0.8894992675656587,0.09595568515284901,0.8095942010129444,0.90261515921517,0.9541369004280517,0.2176729384747225,0.7391415554061972,0.8859282943560794
TTJHP perf improv over HJ,0.274677869996799,0.365011500113331,0.31483816592159497,0.800969274602193,0.8268361153512016,0.8249095364273464,0.7510117698005924,0.8154984105451512,0.8221778053510655,0.5561069511229851,0.7568676120467489,0.609879459164893,0.6105148533588322
LIP perf improv over HJ,-0.002705803423282185,0.07743946685522042,0.09255920659002283,0.692134873415109,0.7075667444421497,0.7028892339828366,0.6099751923413129,0.7026161927999918,0.7196822081992633,0.20363373355911074,0.609933275182128,0.3755233169339572,0.4171134092820097
