Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
HASH_JOIN,172.20137079282517,74.16925867358121,48.83511947407163,2864.8115794200003,2775.7644159800006,2624.5893185000004,2835.62617042,2599.1130878000004,2620.0788667400006,902.5229259800003,2985.290858079999,1520.0154932600003,1357.28560475
LIP,172.66731385141028,68.42563082485215,44.31497956182259,881.9755795399999,811.7258248266667,779.7937428999999,1105.96455171,772.9341453933334,734.4547222683336,718.7388129399999,1164.4626276399997,949.2142334399999,791.1435787833332
TTJHP,124.90146505292296,47.096626302843646,33.459960026292954,570.1855267799998,480.66214914100004,459.54056046399995,706.0375416799999,479.54049587199995,465.9081742369999,400.6236532946668,725.8208950600002,592.9892663083334,528.6425827999999
YannakakisB,513.1402141080001,157.63075768879125,90.01187646231152,4369.68809796,4245.78311736,4170.82436002,4760.344750700002,4142.222453319999,4006.9416424400006,3395.391723319999,4726.063669079999,3808.6228441799994,3640.723047879999
Yannakakis,475.116716131,145.13205737938736,83.44347221701186,4076.2425894600015,3908.047017740001,3905.96952506,4605.2989179199985,3990.7801925799995,3897.5243871199996,3181.6843204399997,4444.0405464,3603.696030640001,3383.074273880001
YannakakisB perf improv over HJ,-1.9798846068731775,-1.1252842553344635,-0.8431792003724318,-0.5252968569907386,-0.5295905851797585,-0.5891340906636398,-0.6787631600941676,-0.5937061272028573,-0.5293210037702362,-2.762111327679714,-0.5831166521976974,-1.5056473839036917,-1.6823558985218796
Yannakakis perf improv over HJ,-1.7590762718295148,-0.9567683427727559,-0.7086775483638384,-0.4228658592218003,-0.40791739934465626,-0.4882212228510977,-0.6240853487531054,-0.5354392278321238,-0.4875599496626772,-2.52532243653,-0.4886457493318426,-1.3708284860380597,-1.4925293998849516
TTJHP perf improv over HJ,0.274677869996799,0.365011500113331,0.31483816592159497,0.800969274602193,0.8268361153512016,0.8249095364273464,0.7510117698005924,0.8154984105451512,0.8221778053510655,0.5561069511229851,0.7568676120467489,0.609879459164893,0.6105148533588322
LIP perf improv over HJ,-0.002705803423282185,0.07743946685522042,0.09255920659002283,0.692134873415109,0.7075667444421497,0.7028892339828366,0.6099751923413129,0.7026161927999918,0.7196822081992633,0.20363373355911074,0.609933275182128,0.3755233169339572,0.4171134092820097
