Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
HASH_JOIN,172.20137079282517,74.16925867358121,48.83511947407163,2864.8115794200003,2775.7644159800006,2624.5893185000004,2835.62617042,2599.1130878000004,2620.0788667400006,902.5229259800003,2985.290858079999,1520.0154932600003,1357.28560475
LIP,172.66731385141028,68.42563082485215,44.31497956182259,881.9755795399999,811.7258248266667,779.7937428999999,1105.96455171,772.9341453933334,734.4547222683336,718.7388129399999,1164.4626276399997,949.2142334399999,791.1435787833332
TTJHP,124.90146505292296,47.096626302843646,33.459960026292954,570.1855267799998,480.66214914100004,459.54056046399995,706.0375416799999,479.54049587199995,465.9081742369999,400.6236532946668,725.8208950600002,592.9892663083334,528.6425827999999
YannakakisB,506.6034075,110.1842857368421,64.5348013548387,2867.527501,2148.854885,1919.435479,3175.623429,1948.7234725,2068.048692,1275.66502,2959.911027,2419.792732,1606.7107145
Yannakakis,317.2752622857143,119.6111648235294,58.997576,2496.309724,2105.2835775,1729.7767345,2395.300315,1736.634057,1741.232508,1103.7296055,2828.536119,1700.2024415,1329.15147
YannakakisB perf improv over HJ,-1.9419243596468967,-0.4855789003064324,-0.32148343343569813,-9.480279958061376E-4,0.2258511303664314,0.26867206786584363,-0.11990200334822035,0.25023521229332796,0.21069219776077094,-0.4134433411924966,0.0085016275755194,-0.5919526759626862,-0.18376759384841626
Yannakakis perf improv over HJ,-0.8424665310442098,-0.6126784460653429,-0.20809730037261387,0.12863039861581602,0.24154817844773163,0.34093432358834785,0.1552834643766816,0.3318359000415943,0.3354274445308945,-0.22293802598035978,0.05250903397091985,-0.11854283659540212,0.020728234832478012
TTJHP perf improv over HJ,0.274677869996799,0.365011500113331,0.31483816592159497,0.800969274602193,0.8268361153512016,0.8249095364273464,0.7510117698005924,0.8154984105451512,0.8221778053510655,0.5561069511229851,0.7568676120467489,0.609879459164893,0.6105148533588322
LIP perf improv over HJ,-0.002705803423282185,0.07743946685522042,0.09255920659002283,0.692134873415109,0.7075667444421497,0.7028892339828366,0.6099751923413129,0.7026161927999918,0.7196822081992633,0.20363373355911074,0.609933275182128,0.3755233169339572,0.4171134092820097
