Algorithm,Query1P1,Query1P2,Query1P3,Query2P1,Query2P2,Query2P3,Query3P1,Query3P2,Query3P3,Query3P4,Query4P1,Query4P2,Query4P3
HASH_JOIN,265.9285374330159,107.32660051757387,65.23732845624886,3108.5709872599996,2997.99038698,3046.24530728,2166.879917590001,1608.5537858300002,1638.9937673,1576.8317627299998,2186.1986789599996,2092.93100101,1595.30924736
TTJHP,269.037821659127,106.86005114263875,66.57293605835584,3038.1599164400013,2929.6568605600005,2901.6927633600003,2351.5095500199996,1680.7982375899999,1596.45559063,1581.7133605500003,2301.258333419999,2247.2238821999995,1619.7744660199999
TTJHP perf improv over HJ,-0.011692179621355301,0.004347005986262643,-0.020473057890509648,0.022650623424257388,0.02279311058393177,0.04745269318086236,-0.08520529030300093,-0.04491267397858393,0.025953836749529162,-0.003095826666726242,-0.052630008227218666,-0.07372095932237685,-0.015335721710687878
