Algorithm,Q1a,Q1b,Q1c,Q1d,Q2a,Q2b,Q2c,Q2d,Q3a,Q3b,Q3c,Q4a,Q4b,Q4c,Q5a,Q5b,Q5c,Q6a,Q6b,Q6c,Q6d,Q6e,Q6f,Q7a,Q7b,Q7c,Q8a,Q8b,Q8c,Q8d,Q9a,Q9b,Q9c,Q9d,Q10a,Q10b,Q10c,Q11a,Q11b,Q11c,Q11d,Q12a,Q12b,Q12c,Q13a,Q13b,Q13c,Q13d,Q14a,Q14b,Q14c,Q15a,Q15b,Q15c,Q15d,Q16a,Q16b,Q16c,Q16d,Q17a,Q17b,Q17c,Q17d,Q17e,Q17f,Q18a,Q18b,Q18c,Q19a,Q19b,Q19c,Q19d,Q20a,Q20b,Q20c,Q21a,Q21b,Q21c,Q22a,Q22b,Q22c,Q22d,Q23a,Q23b,Q23c,Q24a,Q24b,Q25a,Q25b,Q25c,Q26a,Q26b,Q26c,Q27a,Q27b,Q27c,Q28a,Q28b,Q28c,Q29a,Q29b,Q29c,Q30a,Q30b,Q30c,Q31a,Q31b,Q31c,Q32a,Q32b,Q33a,Q33b,Q33c,SUM,SUM (hrs),MAX,MAX (min),MAX (hr),TIMEOUT
HJ,1255.532,866.507,577.73,977.871,2326.435,2253.038,2275.048,2341.603,1214.243,1587.834,1566.531,1382.769,1149.816,1569.106,632.051,536.421,957,20778.448,20047.24,19852.239,20941.468,20469.295,22472.736,8704.316,8364.761,20038.647,1198.275,767.443,29686.884,22600.779,1930.279,1602.321,2914.667,4226.999,1879.668,1926.456,2846.632,1726.206,1495.538,2124.877,1949.966,1374.769,5845.351,1574.658,6661.062,6076.443,6242.922,6961.97,2219.772,1583.71,2533.692,1837.557,1623.97,2444.177,2421.547,22125.081,25880.208,22738.465,21218.151,22927.44,21462.018,20997.63,21797.841,24479.172,23034.645,6816.375,1427.351,2050.796,2069.089,1976.615,3474.195,10532.016,22168.246,21136.655,20560.388,2033.002,2131.629,2166.955,2174.789,2298.785,2590.285,3178.131,2492.788,2469.332,2421.185,3597.449,3555.15,3206.423,2650.468,3171.564,21873.161,21362.874,21834.314,2189.382,1868.012,2313.4,2774.14,2545.119,2665.006,4316.234,3538.518,4461.556,3077.768,2729.057,3493.619,3993.257,2675.164,4566.285,2179.673,2129.663,3188.984,2805.672,3149.835,798158.069,,,,,
TTJ,1291.253,803.376,626.271,842.152,1921.934,1923.008,1764.582,1864.144,834.572,1676.035,1157.25,891.789,1164.845,1198.659,647.018,571.712,835.724,20575.626,20380.456,19351.874,21426.559,21924.483,22144.861,9325.563,8528.069,20219.309,1311.837,704.74,29405.277,25364.367,1790.456,1540.227,2859.735,4028.304,2076.84,1847.931,3163.813,1225.084,1443.664,1558.052,1501.707,1410.694,6185.8,1579.804,7421.522,6224.874,5790.794,7546.065,2245.314,1614.076,2526.488,1988.355,1670.872,2533.849,2404.449,21805.412,25272.543,21832.279,22701.76,21215.777,21614.684,20704.264,21610.097,24426.579,21897.585,6831.537,1413.119,2074.841,2034.493,1890.483,3634.004,8911.965,22018.898,20543.782,21225.994,1492.628,1397.448,1805.186,2448.214,2267.658,2708.098,3059.385,2467.901,2407.123,2473.143,3187.288,3412.988,4110.277,2737.662,4049.293,21352.02,21420.886,21720.754,1563.926,1676.18,1825.794,2614.89,2374.009,2009.923,3344.972,3258.166,4416.672,2816.099,2533.1,3721.408,4832.61,2611.108,5664.265,1763.232,1775.703,3161.476,2784.333,3206.299,790988.327,,,,,
source,results/job/with_predicates/benchmarkjobwithpredicatesautogen-result-2023-04-04t14:46:00.526579.sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,results/job/with_predicates/benchmarkjobwithpredicatesautogen-result-2023-04-04t14:46:00.526579.sum,results/job/with_predicates/benchmarkjobwithpredicatesautogen-result-2023-04-04t14:46:00.526579.sum,results/job/with_predicates/benchmarkjobwithpredicatesautogen-result-2023-04-04t14:46:00.526579.sum,results/job/with_predicates/benchmarkjobwithpredicatesautogen-result-2023-04-04t14:46:00.526579.sum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTJ Performance Improvement compared to HJ,-2.85%,7.29%,-8.40%,13.88%,17.39%,14.65%,22.44%,20.39%,31.27%,-5.55%,26.13%,35.51%,-1.31%,23.61%,-2.37%,-6.58%,12.65%,0.98%,-1.66%,2.52%,-2.32%,-7.11%,1.46%,-7.14%,-1.95%,-0.90%,-9.48%,8.17%,0.95%,-12.23%,7.24%,3.88%,1.88%,4.70%,-10.49%,4.08%,-11.14%,29.03%,3.47%,26.68%,22.99%,-2.61%,-5.82%,-0.33%,-11.42%,-2.44%,7.24%,-8.39%,-1.15%,-1.92%,0.28%,-8.21%,-2.89%,-3.67%,0.71%,1.44%,2.35%,3.99%,-6.99%,7.47%,-0.71%,1.40%,0.86%,0.21%,4.94%,-0.22%,1.00%,-1.17%,1.67%,4.36%,-4.60%,15.38%,0.67%,2.80%,-3.24%,26.58%,34.44%,16.69%,-12.57%,1.35%,-4.55%,3.74%,1.00%,2.52%,-2.15%,11.40%,4.00%,-28.19%,-3.29%,-27.67%,2.38%,-0.27%,0.52%,28.57%,10.27%,21.08%,5.74%,6.72%,24.58%,22.50%,7.92%,1.01%,8.50%,7.18%,-6.52%,-21.02%,2.39%,-24.05%,19.11%,16.62%,0.86%,0.76%,-1.79%,0.90%,,,,,
