Algorithm,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
HASH_JOIN,1008.9419930833334,1009.9624923633335,516.6840708369999,1165.3743038599998,2684.9343569200005,2660.605623239999,2603.1078250199994,2612.6262586200005,1750.5287275300004,1530.7088416100003,2042.19495255,1706.1665314399995,1048.9011670566663,1943.3748971300004,575.4367410899998,483.7740247419999,945.8016383700008,19835.542438260003,19367.974767779993,19826.172876079996,20169.358051299994,19939.199133420003,21453.85993536,8389.143633600002,8283.70182958,8619.05484898,1172.5901660799996,555.171155755,28564.813031680005,24776.540732599995,1799.5943483800002,1533.4815793100001,2625.9954822399995,3522.023540680001,1784.5823008700006,2198.07951065,3443.532631760001,1937.3505473800005,1330.0819099200003,2283.6372545800004,2303.148003160001,1209.3231107799998,5368.749333980001,1451.33547815,6698.183824360001,5061.888106659999,5408.964120099998,7710.1872953600005,2109.4751345199998,1836.23557439,2274.39006965,1586.2031224199998,1487.7998802499997,2241.3175100999997,2314.5304453599992,22628.94235882,24981.602665699997,22368.98960444,22331.531270800006,22734.154303760002,21188.9083617,21386.01358174,21349.22073578,23677.550922560007,24079.480442140015,5841.769756940001,1270.0803871700002,2242.5050307200004,2031.8185269999992,1719.5452482900002,3067.196209480001,10213.848230759999,22108.09995298,20628.19746274,21118.689991600007,2218.5237360499996,2236.4530591099997,2494.6816441399997,2318.6544811600006,2287.5918549000003,2558.7511980399995,3292.95251868,2169.14621049,2182.33076344,2257.6276104900007,3645.8051488999995,3254.2133154800003,3292.9267415200006,2325.1834075899997,3494.661131980001,21474.337333220003,21204.772078919996,22007.933020280005,2299.4258917300003,2033.9116491799996,2708.389745500001,2786.6726170399993,2279.5292336999996,2786.5518408399994,3377.0464599999996,3371.22214068,4507.192392140002,3273.0671030400013,2468.87933084,3484.9074533000003,4015.0199169199996,2325.16200054,5267.7198855000015,2536.4694526199996,2475.66701921,2812.9348189400002,2693.526053379999,2967.782569119999
TTJHP,1052.0533340599993,1024.1243376833334,538.0097646309999,1160.3530230799997,2645.13838108,2624.044271159999,2539.013401739999,2667.4747449199995,1725.44527873,1108.96212542,1998.47696739,1665.2194319399998,1070.6788078866666,1842.5953399600005,579.8271229849998,510.71504115999994,947.1461127766665,19829.284276180002,19279.512910099995,19657.31525043999,20169.15933026,19933.65003342,21696.975711659998,8446.845144500001,8081.57085936,8789.8114215,1166.0490135199998,553.6349582590001,29461.918725320007,24806.202241100003,1804.9887745200003,1508.32212815,2472.3207303599997,2888.1911507,1751.7796564,2191.60544574,2088.9479287900003,2000.0119078200003,1340.44360022,2297.06648394,2308.8126448900002,1190.07098208,5241.56250282,1343.7613844599996,6234.9448719,5179.3855869399995,5168.239812039999,9321.43553972,2141.1085085200007,1802.96911602,2270.2639648600007,1595.76073655,1412.0467626799996,2326.2969415600005,2253.1133638499996,21924.459681639997,24952.360408519995,22455.731572599987,22025.8626383,22906.607669219993,22571.98468512,22168.519715119997,21892.767019140003,24127.2267031,23114.368034860006,5749.70729122,1296.7835518800005,2561.3676778200006,2062.1856041200003,1694.5183320100002,2549.5766271,7645.30610378,22162.330351840003,20144.9143086,21656.336645720006,2242.5813920099995,2235.43013412,2492.1676970199997,1804.5397054999994,1814.832579139999,2068.7923476700003,2582.1204431,2204.30711858,2173.27547444,2298.6252752400005,3670.6119722000008,3292.041896280001,3148.6940512799997,2336.55851878,3422.8390424800004,21525.6463428,21153.00382434,21827.839030759995,2315.9126995499996,2101.81181713,2717.8600950599985,2255.5103079599994,1789.2970072399999,2160.07449477,3173.67734758,3390.3101055399993,4472.92489674,2765.52495518,2469.99334844,3125.8365662,3950.1506301599984,2367.3787824000005,4418.64886872,2540.876357540001,2569.1966538999995,2772.4252322,2693.43447038,3047.6612071599993
Yannakakis,2039.8416835699995,1334.6881974599999,767.4749153099999,1621.0483963700003,3682.6335345800007,3669.98299596,3288.66197706,6833.206910560003,1952.2891018800003,1834.84482039,2388.0052564200005,2251.1414460700007,1744.0913133099996,2666.50349664,556.0349158899999,744.3311765000002,2210.8763430000004,21316.921183540002,20101.4484837,20031.87557378,22227.245926699998,21450.305466520007,65279.395280600016,19742.59330486,19433.523551259994,21282.4287687,2224.1777279100006,808.9833711133334,30649.867489860007,24132.274885039995,3527.2919947200003,2691.7094957399995,5448.141680560001,6101.100463899998,2778.0343163000007,2434.28450226,5357.24888818,2560.674225660001,2197.0473652500004,3160.912945179999,3901.5620254399996,2029.8692953099994,6829.7611277800015,2337.762505789999,10539.373542640002,5846.021877700001,5874.103779419999,11181.658042339997,3216.399108339999,2688.359214539999,3429.7221395199995,4817.15344798,4563.3175403000005,7146.502448240003,7017.759304240002,22994.107131700002,51793.87807556,44654.03200502001,44285.13837406,30252.821990779994,26151.99468134001,25798.787326759997,25726.876857959996,68598.95411754,34792.2484503,6937.022670359999,1904.2192803999997,4316.564741339999,3399.35812282,2603.40712588,4956.54064572,12004.9157233,22103.33009890001,20961.75767694,22733.991612200007,2816.4490679800006,2872.2799131799998,3500.9942265600002,3396.4726103600005,3332.4210026400006,3621.832898179999,6139.94290164,5297.205481360001,3301.8409564199997,6590.168758479999,5881.52772734,4716.058795240001,5195.317484100001,4162.289672019999,5435.43841994,22491.5698038,22057.477303759995,23169.49185272,2828.42228574,2536.2547138999994,3466.3092321,4275.7644731599985,2824.5637928,3350.2359155400004,5576.40393744,5358.718928,7134.016436480002,4346.28644532,4369.277228780001,5546.1281535200005,5608.06458712,3946.71358096,6823.541640539999,2705.36833178,3506.0823453399994,6296.34594664,5402.059604700001,7535.764238840001
Yannakakis perf improv over HJ,-1.0217630919853282,-0.3215225392547018,-0.4853852840222702,-0.39101093185313796,-0.37159164621234997,-0.3793788015417384,-0.2633598752424839,-1.6154551911184305,-0.11525681994072967,-0.19868963352959362,-0.16933266015480172,-0.3194148429169127,-0.6627794572906373,-0.37209938266565273,0.03371669518920319,-0.5385926867341778,-1.3375687388427828,-0.07468304685344149,-0.037870439460722265,-0.010375310403359782,-0.10203041019777843,-0.07578570849253646,-2.0427809017717733,-1.3533502544630929,-1.3459950576522997,-1.4692299958177681,-0.896807420230622,-0.4571783183028733,-0.07299380730647731,0.026003058881916494,-0.960048384179067,-0.7552930090957802,-1.0746957553455818,-0.7322713472613678,-0.5566860183168256,-0.10745971220128937,-0.5557421581458608,-0.32174026488028185,-0.6518135829560641,-0.3841571987147076,-0.6940127252295197,-0.6785169134829124,-0.272132614676743,-0.6107664568152892,-0.5734673486132666,-0.15490934499486586,-0.08599422162767136,-0.4502446716267362,-0.5247390479773891,-0.46406008686171735,-0.5079744610597031,-2.0369083126193086,-2.0671581580805154,-2.1885274692389083,-2.0320444988350403,-0.016137067614106708,-1.0732808366483846,-0.9962471615685614,-0.9830766568151028,-0.33072123935467784,-0.23423039237882748,-0.20633923793949852,-0.20504992553865492,-1.8972149333307442,-0.44489199149879627,-0.18748649107898205,-0.4992903595991991,-0.9248851985647859,-0.6730618791232241,-0.5140090837789556,-0.6159842107265482,-0.17535677563193347,2.1575142550173078E-4,-0.016170109618278434,-0.07648682855056294,-0.26951495817420695,-0.28430145291000586,-0.40338316706014415,-0.4648463744631662,-0.45673757121576825,-0.4154689603875199,-0.8645707360825333,-1.4420693523298211,-0.5129883204392537,-1.919068108424513,-0.6132315050118778,-0.4492162430797431,-0.5777203357101911,-0.7900909057037003,-0.5553549298957052,-0.04736967920338932,-0.040212892723694375,-0.052779097036038496,-0.23005585694784142,-0.24698371973164446,-0.2798413662063537,-0.5343619652392864,-0.2390996136580938,-0.20228730951227514,-0.6512665737622101,-0.5895478566473545,-0.5828071703619448,-0.3278940848121324,-0.7697411024512966,-0.5914707141700841,-0.39677129956108825,-0.6973929472627747,-0.2953501303899196,-0.0665881779043463,-0.4162172530208893,-1.2383547262615404,-1.0055716921398143,-1.5391901405615744
TTJHP perf improv over HJ,-0.042729256262708806,-0.014022149760097396,-0.04127414603561043,0.004308727902587528,0.014821954859876828,0.013741740512251119,0.024622269836059443,-0.020993621310753476,0.01432907007209947,0.27552379964461887,0.02140735148983262,0.023999474110795307,-0.020762338258342134,0.051858011194254046,-0.007629651674107044,-0.055689257876893855,-0.0014215183735384954,3.155024421177377E-4,0.004567429415860305,0.008516904734737237,9.852620965303976E-6,2.783010472423136E-4,-0.011332029622291736,-0.006878116935427568,0.024401043685350635,-0.019811519419696923,0.005578379172210715,0.0027670700829382036,-0.031405971138164304,-0.0011971610088805113,-0.0029975789515321915,0.01640675147289397,0.05852056978746732,0.17996256488894063,0.018381132914973432,0.002945327900393131,0.39337065967563317,-0.03234384222552835,-0.007790264812054286,-0.005880631581511637,-0.002459521369111891,0.015919755876973463,0.023690215960541768,0.0741207634689147,0.06915888912682429,-0.023212184426875726,0.04450469678019382,-0.20897653748692335,-0.014995850618167597,0.01811666151879841,0.0018141588134150941,-0.006025466722962092,0.050916200878622905,-0.03791494559653412,0.02653543902743821,0.031131931223706524,0.0011705516884291632,-0.0038777776597816696,0.013687759643230874,-0.007585651225718514,-0.06527359974428797,-0.03658962108057966,-0.02545977158075154,-0.018991650868398813,0.04008028369212754,0.015759345121507173,-0.02102478313951479,-0.14219038206466056,-0.014945762486396072,0.014554380761360022,0.16875985330842455,0.2514764336564728,-0.002452965156451335,0.02342827845297383,-0.02545833355827699,-0.010843993043244918,4.5738719434913587E-4,0.0010077226189984067,0.2217297919277712,0.20666242308362623,0.19148358415828282,0.21586465992073928,-0.01620956112592203,0.004149365967662063,-0.01815962232190346,-0.0068042098485394656,-0.011624493274627496,0.04380075888764648,-0.004892135025937846,0.020551946751789216,-0.0023893174808529744,0.002441349257955856,0.00818313965941535,-0.007169967024940839,-0.03338403021457452,-0.0034966716203723813,0.19060807711391656,0.21505853893537624,0.22482170863943063,0.06022099927520676,-0.005662031175480235,0.007602847275780939,0.1550662213397947,-4.512239970921824E-4,0.10303598930869208,0.016156653790590326,-0.018156490537087754,0.1611837825920027,-0.0017374169105208613,-0.037779569693441796,0.014401182162928782,3.400115617373261E-5,-0.026915259517709757
