Algorithm,Query1a,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a
HASH_JOIN,1277.3907486666667,1984.8175878333334,2815.738679,2454.9976855,2025.1786611666666,1512.8118096666667,2308.4258786666664,2569.2557518333333,1360.844941,8022.8516721666665,1570.1684693333334,8563.193313166666,8272.276484833334,8196.338000000002,8472.622770666667,2071.0130708333336
TTJHP_NO_NG,1281.6067885,1995.020994166667,2757.5367425000004,4035.9624378333333,1723.2124113333332,1465.1408659999997,2128.2387105,2143.49739,1337.885150833333,6992.438157166667,1442.7652291666666,7855.356669000001,7135.850918166667,7263.971739833334,8831.236234833334,1942.1984224999999
TTJHP,1287.5191149999998,2052.2399601666666,2739.501785333334,4163.8428945000005,1658.863908,1507.2922861666666,2142.5028546666667,2112.0263874999996,1303.4816643333331,6890.298186166666,1459.5175643333334,7744.107368833334,7239.1473295,7130.249476333333,8769.8360825,2008.3718178333336
TTJHP_NO_NG perf improv over HJ,-0.0033005091337431217,-0.005140727488449845,0.020670219482395242,-0.6439781029819359,0.14910598043699338,0.03151148302918841,0.07805629361196632,0.16571272109813384,0.01687171658939728,0.12843482057318453,0.08113985387871153,0.08266036025115822,0.1373776092651433,0.11375400333254525,-0.04232614550104056,0.06219885820493702
TTJHP perf improv over HJ,-0.007928949183251143,-0.03396905224269643,0.027075273083843665,-0.6960679511402336,0.1808802157512561,0.0036485195744315863,0.07187712871068483,0.17796179458081213,0.04215269127172876,0.1411659509958435,0.07047072155701893,0.09565192731009772,0.12489054944276914,0.13006888242855139,-0.03507925702325904,0.03024667197044509
