Algorithm,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
HASH_JOIN,274.9538323376984,231.78427386000004,177.0282640278835,261.9303139523016,556.1736979000001,562.68962032,483.0500016386666,576.5850471399999,613.81958628,453.38619307600004,525.7493192979999,396.2424203293334,278.6271855778572,425.85322670600004,278.0313873835714,266.51829288833335,371.7029228843809,2209.68529748,2197.046787119999,2147.09815,2188.3640084000003,2273.05827008,3205.3800235999997,2113.91643266,1975.65240226,2833.7661511999995,334.0453680348572,232.41992204622224,4713.03535044,3921.7102266400007,429.0447905900001,358.4294649853334,1006.3578455666668,1560.7752785999996,473.64299830400006,855.3627472733332,1096.4283653066666,427.99437090333333,369.9872020333334,614.2565274466667,546.57197509,434.54137351599985,834.9572991533333,543.9604854913334,1829.32845114,854.5143623733334,855.6296638266666,2321.99225986,671.3681216700002,523.056076184,649.6685736200001,512.800169134,528.19568565,639.0980384466667,603.8208694033333,2384.0214709599995,4465.075350439999,3044.7433110399993,2836.7877652800003,3263.4387074800006,2915.9006033200003,2899.04220708,2990.3782897599995,3900.7443774799995,3701.1613736400004,1189.47119524,470.558344432,790.6422382800004,608.5461614799999,536.789346978,764.3009833866665,3567.3842832,3368.5599286799993,2661.4072151200003,2752.15543512,579.2404548933333,572.14301373,614.8667364700001,751.3589468,747.9879849733334,839.4065669933334,859.3567363066666,648.9357345466666,636.4886881966668,679.9704420533333,959.6990364733331,874.9056220799998,878.1034988866664,684.8436797999999,978.0386331133334,3405.6306770399992,2604.71566436,3608.28175532,663.7721527,602.3414124666666,723.8150283666666,794.3602023533333,733.7744185833333,889.6384270333332,1041.5249625533334,1063.6716432666667,1182.4591577400001,854.6795975199999,757.1321650800002,955.6680146199999,918.2361557733336,710.1906820266668,1009.7922833066666,485.70279521799995,547.4814913040001,639.3849398499999,607.7432226033333,660.0819084766667
TTJHP,353.65922957314285,270.4050095585714,194.52753249648487,308.8079789714286,662.5466036666668,667.7245989433333,664.3554953800001,669.5235473600001,673.2810087733335,449.0890611920001,579.5542518899998,434.9057864586668,289.2249782464285,488.126827472,293.35732558571436,265.72236341999997,401.19674318666665,3322.7758286,3099.48293168,3039.94007692,2392.0716680799997,3279.5820285199998,3874.9151758399994,2294.6384488,2356.8561971200006,2939.7986991199996,412.82436159066657,223.28768869200002,5720.325819959999,4848.48085336,554.2218883099999,463.21726112000005,1072.9691198533335,1629.1943537799996,563.8094351100001,927.3221182066668,1128.5379234866666,534.0251224880001,405.34167560000003,739.0600930833333,650.01750583,440.79325544799997,1231.1737504199998,559.86862082,1732.90584182,1157.6468464266666,1193.4253115999998,1882.2774456999996,709.5583144966669,519.5080271179999,736.8119959600001,578.5285827373333,548.6246069060002,714.8799855433332,669.81498982,3531.6836843200003,5595.669542479999,3687.3182681600006,3798.644794040001,3354.2845842400006,3107.2361628800004,3076.25857728,3124.944619720001,4943.47971784,3790.6466621200007,1435.58843452,489.52273681400015,938.8792104199998,697.46241353,610.0255347500001,909.8202398866669,3830.5500623599987,4007.00694912,3328.0268163200003,3573.035397999999,672.7799541866668,671.5302779200001,795.5752060533332,834.8272505000002,830.2110773199997,908.9027700466667,958.1514968666664,785.6046511833332,728.7823068100001,779.2317344333334,1107.9546700800001,1011.2424180133335,1072.1106547266668,806.9560337866668,1106.5974660333334,3921.32309508,3384.41873432,4300.933461799999,708.2872067766667,665.4058086566666,809.5326012400001,928.2226716200001,821.3455077466665,850.2776668133333,1125.48512396,1113.8242539600003,1365.12591544,911.6451983066669,839.9310097266665,1060.0576040533335,1090.78853032,824.5512049999999,1351.0836186000001,712.2962846933334,730.0398172133333,777.2603770266667,750.8399827200001,822.73513836
TTJHP perf improv over HJ,-0.28624950074810557,-0.16662362400780764,-0.09885013878826199,-0.17896998751990031,-0.19125842550323643,-0.18666592528150802,-0.3753348372348305,-0.16118784328694855,-0.09687117163154454,0.009477862249942038,-0.10233951926717134,-0.09757503019792446,-0.03803574531534716,-0.1462325441272101,-0.05512305048134479,0.002986397142603884,-0.07934782991055439,-0.5037326049955648,-0.4107496252926687,-0.415836568495949,-0.09308673460999665,-0.44280596396878785,-0.20887855646146972,-0.08549156123101447,-0.19295084217442898,-0.03741753633238192,-0.23583321636595456,0.03929195601574146,-0.2137243611860369,-0.23631797689296066,-0.2917576450418214,-0.2923526282610567,-0.06619044565520206,-0.043836595900834094,-0.1903679292818938,-0.08412731459573236,-0.02928559602798958,-0.24773865918113866,-0.09555593645501669,-0.20317824892386308,-0.18926241273707156,-0.014387311112436392,-0.4745349872004705,-0.029245020094240046,0.052709292997608716,-0.35474240972546234,-0.39479188491735573,0.18936962958976972,-0.05688413195978116,0.0067833053233702645,-0.13413519735829393,-0.12817549127242533,-0.03867680447041189,-0.11857640383446517,-0.10929420257017446,-0.4813975995349821,-0.25320831191092635,-0.2110440491945824,-0.3390655587747371,-0.027837469890816615,-0.06561799786390123,-0.06112928254966571,-0.044999768230260064,-0.26731701425501764,-0.02417762411477716,-0.20691315625372564,-0.04030189371073978,-0.18748931560054397,-0.1461125838568327,-0.13643375783126643,-0.19039522343042814,-0.0737699553141314,-0.18953114504635876,-0.25047636356165165,-0.2982680238204666,-0.16148647509531897,-0.17371052657282285,-0.29389859438615124,-0.11108978478992966,-0.10992568597154366,-0.08279206499689584,-0.11496361916542233,-0.21060470145343554,-0.14500433444437874,-0.1459788341391089,-0.1544813821544215,-0.15583028899643672,-0.2209388256463833,-0.17830690066721255,-0.13144555702341343,-0.15142347099369394,-0.2993428728627005,-0.19196164641487978,-0.06706375658513933,-0.10469875536490693,-0.11842469348385933,-0.16851608233908538,-0.11934333896840253,0.04424354774248649,-0.08061272117841084,-0.04715046321937168,-0.15448039495006788,-0.06665141060107493,-0.10935850894396705,-0.10923206368358142,-0.18791720785743157,-0.16102791245723358,-0.33798172251400127,-0.46652704432888964,-0.3334511372695229,-0.2156376051162738,-0.2354559537557597,-0.24641370683632793
