statistics,Query1a,Query1b,Query1c,Query1d,Query2a,Query2b,Query2c,Query2d,Query3a,Query3b,Query3c,Query4a,Query4b,Query4c,Query5a,Query5b,Query5c,Query6a,Query6b,Query6c,Query6d,Query6e,Query6f,Query7a,Query7b,Query7c,Query8a,Query8b,Query8c,Query8d,Query9a,Query9b,Query9c,Query9d,Query10a,Query10b,Query10c,Query11a,Query11b,Query11c,Query11d,Query12a,Query12b,Query12c,Query13a,Query13b,Query13c,Query13d,Query14a,Query14b,Query14c,Query15a,Query15b,Query15c,Query15d,Query16a,Query16b,Query16c,Query16d,Query17a,Query17b,Query17c,Query17d,Query17e,Query17f,Query18a,Query18b,Query18c,Query19a,Query19b,Query19c,Query19d,Query20a,Query20b,Query20c,Query21a,Query21b,Query21c,Query22a,Query22b,Query22c,Query22d,Query23a,Query23b,Query23c,Query24a,Query24b,Query25a,Query25b,Query25c,Query26a,Query26b,Query26c,Query27a,Query27b,Query27c,Query28a,Query28b,Query28c,Query29a,Query29b,Query29c,Query30a,Query30b,Query30c,Query31a,Query31b,Query31c,Query32a,Query32b,Query33a,Query33b,Query33c
totalTuplesRemoved,150,79,398801,90,309908,314089,320022,231097,145797,12973,141809,145311,1367,149478,1,391666,266,135397,158774,134214,754772,135397,149780,2533,297,123262,67379,226,3640389,491369,93921,85969,58847,326552,26360,240083,3140366,144519,905204,175211,174040,52629,1238,1,1380035,666,181,1380035,1,1,1,1784,11207,3543,11349,42279,806791,202323,110357,912883,1200224,1209020,1205546,231409,1017411,25941,52629,52629,93977,160071,781138,438959,554337,316159,286515,144476,144634,144551,1,1,1,1,1814,7384,3303,140525,273475,1380035,30333,1380035,188666,147504,289794,144467,144565,144537,1,133295,162843,1474,82704,138545,1,1,1,1380035,563,1380035,134163,171027,2450,89370,38271
totalTuplesRemovedRk,0,13,391665,12,169255,170829,171535,150885,144416,27,140228,144057,303,140986,1,391666,149,134179,158575,134182,158563,134179,149780,62,64,0,6726,4,0,0,93867,85857,49796,0,16294,238396,3140338,144394,905169,173592,173499,52629,1238,1,1380035,1,94,1380035,1,1,1,0,11182,0,10438,0,151872,167826,0,158094,168546,171403,170367,151218,148578,9062,52629,52629,93886,160023,0,0,158575,158574,150244,144396,144403,144392,1,1,1,1,0,0,0,138924,273314,1380035,30333,1380035,150065,138280,150247,144400,144402,144401,1,133295,150636,0,82387,134501,1,1,1,1380035,533,1380035,134163,171027,1,88739,36739
totalTuplesRemovedInnerRelations,150,66,7136,78,140653,143260,148487,80212,1381,12946,1581,1254,1064,8492,0,0,117,1218,199,32,596209,1218,0,2471,233,123262,60653,222,3640389,491369,54,112,9051,326552,10066,1687,28,125,35,1619,541,0,0,0,0,665,87,0,0,0,0,1784,25,3543,911,42279,654919,34497,110357,754789,1031678,1037617,1035179,80191,868833,16879,0,0,91,48,781138,438959,395762,157585,136271,80,231,159,0,0,0,0,1814,7384,3303,1601,161,0,0,0,38601,9224,139547,67,163,136,0,0,12207,1474,317,4044,0,0,0,0,30,0,0,0,2449,631,1532
totalTuplesFiltered,0,1380021,0,1380021,4350298,4350516,4352395,4348383,4379371,0,4377666,4379133,8014,4378244,0,0,294830,4389747,4365349,4389747,4365295,4389747,4360112,0,0,0,0,0,0,0,773580,627958,0,0,15923,2370733,0,4379526,366818,4350334,4350315,0,1378797,0,0,0,200,0,0,0,0,0,50480,0,209,0,4348420,4352255,0,4348686,4350888,4352343,4351921,4348389,4348219,0,0,0,773569,38493,0,0,4365341,4365343,4372626,4379526,4379526,4379526,0,0,0,0,0,0,0,4384995,27928,0,468,0,4373585,4385644,4372626,4379526,4379526,4379526,0,944,4373294,0,754313,4389426,0,0,0,0,0,0,4389767,4352363,0,30825,650515
totalIntermediateResultsProduced,544,98,402688,112,405761,405546,403664,407749,156950,13003,166208,158474,1759,178348,5,391670,3034,135436,188692,134236,784906,135436,995611,2589,325,223948,67891,317,10260393,1417523,95729,86774,94071,1511534,51322,246951,3140415,156179,905267,248841,266542,52636,1249,8,1380043,674,278,1380043,8,8,8,3191,11580,6716,57105,43892,6482448,915896,597232,1390632,1364047,1255359,1276020,3307274,2514472,25947,52635,52635,96121,160318,793477,3564105,619223,352949,328942,160233,155533,158343,11,11,11,11,3098,7501,7746,151165,273729,1380043,30364,1380043,224819,160165,342952,158227,156103,156037,14,133308,190587,14019,83727,168582,12,12,12,1380045,573,1380045,134169,226555,2719,89469,75548
numberOfPassContextCalls,150,88,402674,98,384792,392559,403660,265443,156455,12987,148097,155510,1734,159544,1,391666,414,135414,188658,134227,784598,135414,168016,2544,318,134622,67647,284,4971717,773995,95388,86631,78223,627324,50824,246945,3140366,155175,905234,220772,219498,52629,1242,1,1380035,666,270,1380035,1,1,1,2409,11486,3648,32368,42827,884716,283558,138581,977253,1237943,1250677,1245914,266772,1038675,25941,52629,52629,95659,160270,787357,885006,619050,352815,310701,155230,155352,155165,1,1,1,1,1816,7390,6440,150769,273631,1380035,30356,1380035,217384,159740,322628,155076,155563,155213,1,133295,190574,6331,83599,141727,1,1,1,1380035,563,1380035,134164,212306,2674,89428,75047
numberOfPassContextCallsInnerRelations,150,75,11009,86,215537,221730,232125,114558,12039,12960,7869,11453,1431,18558,0,0,265,1235,30083,45,626035,1235,18236,2482,254,134622,60921,280,4971717,773995,1521,774,28427,627324,34530,8549,28,10781,65,47180,45999,0,4,0,0,665,176,0,0,0,0,2409,304,3648,21930,42827,732844,115732,138581,819159,1069397,1079274,1075547,115554,890097,16879,0,0,1773,247,787357,885006,460475,194241,160457,10834,10949,10773,0,0,0,0,1816,7390,6440,11845,317,0,23,0,67319,21460,172381,10676,11161,10812,0,0,39938,6331,1212,7226,0,0,0,0,30,0,1,41279,2673,689,38308
numberOfPassContextCallsRk,0,13,391665,12,169255,170829,171535,150885,144416,27,140228,144057,303,140986,1,391666,149,134179,158575,134182,158563,134179,149780,62,64,0,6726,4,0,0,93867,85857,49796,0,16294,238396,3140338,144394,905169,173592,173499,52629,1238,1,1380035,1,94,1380035,1,1,1,0,11182,0,10438,0,151872,167826,0,158094,168546,171403,170367,151218,148578,9062,52629,52629,93886,160023,0,0,158575,158574,150244,144396,144403,144392,1,1,1,1,0,0,0,138924,273314,1380035,30333,1380035,150065,138280,150247,144400,144402,144401,1,133295,150636,0,82387,134501,1,1,1,1380035,533,1380035,134163,171027,1,88739,36739
numberOfInitPassContextCalls,150,79,398801,90,309908,314089,320022,231097,145797,12973,141809,145311,1367,149478,1,391666,266,135397,158774,134214,754772,135397,149780,2533,297,123262,67379,226,3640389,491369,93921,85969,58847,326552,26360,240083,3140366,144519,905204,175211,174040,52629,1238,1,1380035,666,181,1380035,1,1,1,1784,11207,3543,11349,42279,806791,202323,110357,912883,1200224,1209020,1205546,231409,1017411,25941,52629,52629,93977,160071,781138,438959,554337,316159,286515,144476,144634,144551,1,1,1,1,1814,7384,3303,140525,273475,1380035,30333,1380035,188666,147504,289794,144467,144565,144537,1,133295,162843,1474,82704,138545,1,1,1,1380035,563,1380035,134163,171027,2450,89370,38271
